State,Baseline_Value
"[0, 0]",0.000000
"[0, 1]",160.090000
"[0, 2]",170.340000
"[0, 3]",170.800000
"[0, 4]",170.770000
"[0, 5]",170.900000
"[0, 6]",173.460000
"[0, 7]",175.800000
"[0, 8]",174.770000
"[0, 9]",165.320000
"[0, 10]",165.320000
"[1, 0]",160.090000
"[1, 1]",310.020000
"[1, 2]",323.670000
"[1, 3]",324.200000
"[1, 4]",324.250000
"[1, 5]",324.400000
"[1, 6]",327.980000
"[1, 7]",331.340000
"[1, 8]",333.490000
"[1, 9]",174.770000
"[1, 10]",165.320000
"[2, 0]",170.340000
"[2, 1]",323.670000
"[2, 2]",334.610000
"[2, 3]",335.230000
"[2, 4]",335.190000
"[2, 5]",335.300000
"[2, 6]",338.820000
"[2, 7]",341.500000
"[2, 8]",337.530000
"[2, 9]",333.490000
"[2, 10]",174.770000
"[3, 0]",170.800000
"[3, 1]",324.200000
"[3, 2]",335.230000
"[3, 3]",335.600000
"[3, 4]",335.680000
"[3, 5]",335.830000
"[3, 6]",339.130000
"[3, 7]",342.630000
"[3, 8]",341.500000
"[3, 9]",337.530000
"[3, 10]",333.490000
"[4, 0]",170.770000
"[4, 1]",324.250000
"[4, 2]",335.190000
"[4, 3]",335.680000
"[4, 4]",335.610000
"[4, 5]",335.830000
"[4, 6]",339.240000
"[4, 7]",341.770000
"[4, 8]",350.790000
"[4, 9]",341.500000
"[4, 10]",337.530000
"[5, 0]",170.900000
"[5, 1]",324.400000
"[5, 2]",335.300000
"[5, 3]",335.830000
"[5, 4]",335.830000
"[5, 5]",335.810000
"[5, 6]",339.290000
"[5, 7]",342.040000
"[5, 8]",348.890000
"[5, 9]",350.790000
"[5, 10]",341.500000
"[6, 0]",173.460000
"[6, 1]",327.980000
"[6, 2]",338.820000
"[6, 3]",339.130000
"[6, 4]",339.240000
"[6, 5]",339.290000
"[6, 6]",342.620000
"[6, 7]",345.780000
"[6, 8]",349.800000
"[6, 9]",348.890000
"[6, 10]",350.790000
"[7, 0]",175.800000
"[7, 1]",331.340000
"[7, 2]",341.500000
"[7, 3]",342.630000
"[7, 4]",341.770000
"[7, 5]",342.040000
"[7, 6]",345.780000
"[7, 7]",346.000000
"[7, 8]",345.780000
"[7, 9]",349.800000
"[7, 10]",348.890000
"[8, 0]",174.770000
"[8, 1]",333.490000
"[8, 2]",337.530000
"[8, 3]",341.500000
"[8, 4]",350.790000
"[8, 5]",348.890000
"[8, 6]",349.800000
"[8, 7]",345.780000
"[8, 8]",346.000000
"[8, 9]",345.780000
"[8, 10]",349.800000
"[9, 0]",165.320000
"[9, 1]",174.770000
"[9, 2]",333.490000
"[9, 3]",337.530000
"[9, 4]",341.500000
"[9, 5]",350.790000
"[9, 6]",348.890000
"[9, 7]",349.800000
"[9, 8]",345.780000
"[9, 9]",346.000000
"[9, 10]",345.780000
"[10, 0]",165.320000
"[10, 1]",165.320000
"[10, 2]",174.770000
"[10, 3]",333.490000
"[10, 4]",337.530000
"[10, 5]",341.500000
"[10, 6]",350.790000
"[10, 7]",348.890000
"[10, 8]",349.800000
"[10, 9]",345.780000
"[10, 10]",346.000000
