Retailer_State_Pair,Action_Target,Source
"[0, 0]",0.00,Original
"[0, 1]",0.00,Original
"[0, 2]",0.00,Original
"[0, 3]",0.00,Original
"[0, 4]",0.00,Original
"[0, 5]",159.91,Original
"[0, 6]",172.79,Original
"[0, 7]",175.30,Original
"[0, 8]",175.80,Original
"[0, 9]",175.80,Fallback
"[1, 0]",0.00,Fallback
"[1, 1]",0.00,Original
"[1, 2]",0.00,Original
"[1, 3]",0.00,Original
"[1, 4]",0.00,Original
"[1, 5]",159.91,Original
"[1, 6]",172.77,Original
"[1, 7]",175.56,Original
"[1, 8]",177.00,Original
"[1, 9]",175.80,Fallback
"[2, 0]",0.00,Fallback
"[2, 1]",0.00,Fallback
"[2, 2]",0.00,Original
"[2, 3]",0.00,Original
"[2, 4]",0.00,Original
"[2, 5]",159.99,Original
"[2, 6]",172.86,Original
"[2, 7]",175.50,Original
"[2, 8]",172.06,Original
"[2, 9]",177.00,Fallback
"[3, 0]",0.00,Fallback
"[3, 1]",0.00,Fallback
"[3, 2]",0.00,Fallback
"[3, 3]",0.00,Original
"[3, 4]",0.00,Original
"[3, 5]",159.85,Original
"[3, 6]",172.73,Original
"[3, 7]",175.61,Original
"[3, 8]",176.32,Original
"[3, 9]",172.06,Fallback
"[4, 0]",0.00,Fallback
"[4, 1]",0.00,Fallback
"[4, 2]",0.00,Fallback
"[4, 3]",0.00,Fallback
"[4, 4]",0.00,Original
"[4, 5]",159.95,Original
"[4, 6]",172.98,Original
"[4, 7]",175.64,Original
"[4, 8]",179.88,Original
"[4, 9]",176.32,Fallback
"[5, 0]",159.91,Fallback
"[5, 1]",159.91,Fallback
"[5, 2]",159.99,Fallback
"[5, 3]",159.85,Fallback
"[5, 4]",159.95,Fallback
"[5, 5]",309.35,Original
"[5, 6]",327.36,Original
"[5, 7]",331.25,Original
"[5, 8]",332.50,Original
"[5, 9]",179.88,Fallback
"[6, 0]",172.79,Fallback
"[6, 1]",172.77,Fallback
"[6, 2]",172.86,Fallback
"[6, 3]",172.73,Fallback
"[6, 4]",172.98,Fallback
"[6, 5]",327.36,Fallback
"[6, 6]",341.30,Original
"[6, 7]",345.01,Original
"[6, 8]",343.84,Original
"[6, 9]",332.50,Fallback
"[7, 0]",175.30,Fallback
"[7, 1]",175.56,Fallback
"[7, 2]",175.50,Fallback
"[7, 3]",175.61,Fallback
"[7, 4]",175.64,Fallback
"[7, 5]",331.25,Fallback
"[7, 6]",345.01,Fallback
"[7, 7]",343.54,Original
"[7, 8]",345.01,Fallback
"[7, 9]",343.84,Fallback
"[8, 0]",175.80,Fallback
"[8, 1]",177.00,Fallback
"[8, 2]",172.06,Fallback
"[8, 3]",176.32,Fallback
"[8, 4]",179.88,Fallback
"[8, 5]",332.50,Fallback
"[8, 6]",343.84,Fallback
"[8, 7]",345.01,Fallback
"[8, 8]",343.54,Fallback
"[8, 9]",345.01,Fallback
"[9, 0]",175.80,Fallback
"[9, 1]",175.80,Fallback
"[9, 2]",177.00,Fallback
"[9, 3]",172.06,Fallback
"[9, 4]",176.32,Fallback
"[9, 5]",179.88,Fallback
"[9, 6]",332.50,Fallback
"[9, 7]",343.84,Fallback
"[9, 8]",345.01,Fallback
"[9, 9]",343.54,Fallback
